AYPY,POM,杰克逊斯机场,147.218,-9.442,PG,巴布亚新几内亚,,,,,,
BGTL,THU,图勒,-68.705,76.532,GL,格棱兰,,,,,,
CYEG,YEG,爱德蒙顿,-113.58,53.31,CA,加拿大,,,,,,
CYFB,YFB,伊卡卢伊特机场,-68.557,63.757,CA,加拿大,,,,,,
CYOW,YOW,渥太华麦克唐纳.卡捷国际机场,-73.742,45.468,CA,加拿大,,,,,,
CYQQ,YQQ,科莫克斯机场,-124.887,49.712,CA,加拿大,,,,,,
CYUL,YUL,蒙特利尔/多尔瓦勒,-73.742,45.468,CA,加拿大,,,,,,
CYVR,YVR,温哥华,-123.183,49.195,CA,加拿大,,,,,,
CYWG,YWG,温尼伯国际机场,-97.235,49.91,CA,加拿大,,,,,,
CYXY,YXY,怀特霍斯,-135.068,60.71,CA,加拿大,,,,,,
CYYC,YYC,卡尔加里国际机场,-114.02,51.113,CA,加拿大,,,,,,
CYYR,YYR,吉斯贝机场,-60.427,53.32,CA,加拿大,,,,,,
CYYZ,YYZ,多伦多皮尔森国际机场,-79.63,43.677,CA,加拿大,,,,,,
EBBR,BRU,布鲁塞尔国家机场,4.485,50.902,BE,比利时,,,,,,
EDDB,SXF,柏林,13.52,52.378,DE,德国,,,,,,
EDDF,FRA,法兰克福梅因机场,8.57,50.033,DE,德国,,,,,,
EDDH,HAM,汉堡机场,9.988,53.63,DE,德国,,,,,,
EDDK,CGN,波恩机场,7.143,50.867,DE,德国,,,,,,
EDDL,DUS,杜塞尔多夫,6.757,51.282,DE,德国,,,,,,
EDDM,MUC,慕尼黑机场,11.787,48.353,DE,德国,,,,,,
EDDN,NUE,纽伦堡机场,11.078,49.498,DE,德国,,,,,,
EDDP,LEJ,莱比锡/哈雷,12.237,51.423,DE,德国,,,,,,
EFHK,HEL,赫尔辛基/万塔机场,24.963,60.317,FI,芬兰,,,,,,
EGCC,MAN,曼彻斯特机场,-2.275,53.353,GB,英国,,,,,,
EGKK,LGW,盖特威克机场（英）,-0.19,51.148,GB,英国,,,,,,
EGLL,LHR,伦敦希思罗机场,-0.462,51.478,GB,英国,,,,,,
EGSS,STN,斯坦斯特德机场,0.235,51.885,GB,英国,,,,,,
EHAM,AMS,阿姆斯特丹/斯希普霍尔机场,4.765,52.308,NL,荷兰,,,,,,
EKCH,CPH,哥本哈根凯期楚普机场,12.657,55.618,DK,丹麦,,,,,,
ELLX,LUX,卢森堡机场,6.205,49.623,LU,卢森堡,,,,,,
EPWA,WAW,华沙/奥肯切机场,20.967,52.165,PL,波兰,,,,,,
ESGG,GOT,兰韦特尔机场,12.292,57.66,SE,瑞典,,,,,,
ESMS,MMX,斯蒂吕普机场,13.353,55.548,SE,瑞典,,,,,,
ESSA,ARN,斯德哥尔摩/阿兰达机场,17.918,59.652,SE,瑞典,,,,,,
GCLP,LPA,大加那利机场,-15.387,27.932,ES,西班牙,,,,,,
GCTS,TFS,雷纳索非亚机场,-16.573,28.045,ES,西班牙,,,,,,
GFLL,FNA,弗里敦/隆吉机场,-13.195,8.617,SL,塞拉利昂,,,,,,
GMMX,RAK,马拉喀什/梅纳拉机场,-8.042,31.608,MA,摩洛哥,,,,,,
GOOY,DKR,达喀尔机场,-17.48,14.743,SN,塞内加尔,,,,,,
GUCY,CKY,科纳克里/格贝西亚,-13.612,9.577,GN,几内亚,,,,,,
GVAC,SID,阿米卡？卡布拉尔机场,-22.948,16.742,CV,佛德角群岛,,,,,,
KATL,ATL,亚特兰大哈茨菲尔德国际机场,-84.427,33.64,US,美国,,,,,,
KBOS,BOS,波士顿洛根国际机场,-71.005,42.365,US,美国,,,,,,
KBUF,BUF,布法罗/大布法罗国际机场,-78.726,42.938,US,美国,,,,,,
KBWI,BWI,华盛顿国际机场,-76.668,39.175,US,美国,,,,,,
KDEN,DEN,丹佛,-104.673,39.862,US,美国,,,,,,
KDFW,DFW,达拉斯沃斯堡,-97.038,32.897,US,美国,,,,,,
KDTW,DTW,底特律都会,-83.353,42.212,US,美国,,,,,,
KEWR,EWR,纽瓦克国际机场,-74.168,40.692,US,美国,,,,,,
KIAD,IAD,华盛顿/杜勒斯,-77.455,38.945,US,美国,,,,,,
KIAH,IAH,休斯敦,-95.342,29.985,US,美国,,,,,,
KJFK,JFK,纽约约翰.肯尼迪国际机场,-73.778,40.64,US,美国,,,,,,
KLAS,LAS,迈卡伦国际机场,-115.152,36.08,US,美国,,,,,,
KLAX,LAX,洛杉矶国际机场,-118.408,33.943,US,美国,,,,,,
KMEM,MEM,孟菲斯,-89.977,35.042,US,美国,,,,,,
KOAK,OAK,奥克兰都会国际机场,-122.22,37.722,US,美国,,,,,,
KONT,ONT,安大略国际机场,-117.602,34.057,US,美国,,,,,,
KORD,ORD,芝加哥奥黑尔国际机场,-87.905,41.978,US,美国,,,,,,
KPDX,PDX,波特兰国际机场,-122.598,45.588,US,美国,,,,,,
KPHL,PHL,费城国际机场,-75.242,39.872,US,美国,,,,,,
KPIT,PIT,大匹兹堡国际机场,-80.233,40.492,US,美国,,,,,,
KSAN,SAN,圣迭戈国际机场,-117.19,32.733,US,美国,,,,,,
KSEA,SEA,西雅图-塔科马国际机场,-122.31,47.448,US,美国,,,,,,
KSFO,SFO,旧金山,-122.375,37.618,US,美国,,,,,,
KSLC,SLC,盐湖城,-111.978,40.788,US,美国,,,,,,
LEAL,ALC,阿利坎特机场,-0.558,38.282,ES,西班牙,,,,,,
LEAM,LEI,阿尔梅里亚机场,-2.37,36.843,ES,西班牙,,,,,,
LEBL,BCN,巴塞罗那/埃尔帕特机场,2.078,41.297,ES,西班牙,,,,,,
LEMD,MAD,马德里/巴拉哈斯机场,-3.562,40.472,ES,西班牙,,,,,,
LEMG,AGP,马拉加机场,-4.493,36.672,ES,西班牙,,,,,,
LEVC,VLC,巴伦西亚机场,-0.482,39.49,ES,西班牙,,,,,,
LFPG,CDG,巴黎/戴高乐机场,2.548,49.01,FR,法国,,,,,,
LFPO,ORY,奥利机场,2.38,48.723,FR,法国,,,,,,
LFSB,MLH,巴塞尔米卢兹机场,7.53,47.59,FR,法国,,,,,,
LGAV,ATH,雅典/埃利尼孔国际机场,23.945,37.937,GR,希腊,,,,,,
LGIR,HER,尼科-卡赞扎基斯机场,25.18,35.34,GR,希腊,,,,,,
LGRP,RHO,罗得/迪亚戈拉斯,28.083,36.4,GR,希腊,,,,,,
LGSA,CHQ,干尼亚,24.152,35.532,GR,希腊,,,,,,
LGTS,SKG,马其顿机场,22.972,40.52,GR,希腊,,,,,,
LHBP,BUD,布达佩斯/费里海吉,19.262,47.44,HU,匈牙利,,,,,,
LIMC,MXP,米兰/马尔彭萨机场,8.723,45.63,IT,意大利,,,,,,
LIMJ,GOA,塞斯特里机场,8.838,44.413,IT,意大利,,,,,,
LIPE,BLQ,博洛尼亚/帕尼加莱镇机场,11.297,44.532,IT,意大利,,,,,,
LIRF,FCO,罗马菲乌米奇诺机场,12.238,41.8,IT,意大利,,,,,,
LKPR,PRG,布拉格/鲁济涅机场,14.26,50.102,CZ,捷克,,,,,,
LOWW,VIE,维也纳施韦夏特机场,16.57,48.11,AT,奥地利,,,,,,
LPMA,FNC,马德拉群岛,-16.778,32.695,PT,葡萄牙,,,,,,
LSGG,GVA,日内瓦/宽特兰机场,6.11,46.238,CH,瑞士,,,,,,
LSZH,ZRH,苏黎士,8.548,47.458,CH,瑞士,,,,,,
